"","name","real3","drpm"
"375","Reggie Jackson",21.528,-1.1
"376","Richard Jefferson",28.116,-0.16
"377","Ricky Ledo",3.7,-1.13
"378","Ricky Rubio",3.315,2.33
"379","Robbie Hummel",5.024,-2.45
"380","Robert Covington",62.458,0.02
"381","Robert Sacre",0,1.59
"382","Robin Lopez",0,1.74
"383","Rodney Hood",22.63,0.07
"384","Rodney Stuckey",21.45,-0.15
"385","Ronnie Price",8.804,0.39
"387","Roy Hibbert",0,2.43
"388","Rudy Gay",28.361,-2.46
"389","Rudy Gobert",0,3.63
"390","Russ Smith",0.364,-0.85
"391","Russell Westbrook",25.714,-0.71
"392","Ryan Anderson",41.48,-3.59
"394","Ryan Kelly",15.12,-0.79
"396","Sean Kilpatrick",1.232,-0.89
"397","Serge Ibaka",28.952,3.51
"398","Sergey Karasev",4.736,0.3
"399","Shabazz Muhammad",7.84,-2.54
"400","Shabazz Napier",15.652,0.37
"401","Shane Larkin",10.57,-1.79
"402","Shaun Livingston",0,0.83
"403","Shavlik Randolph",0,0.02
"404","Shawn Marion",3.132,-1.73
"405","Shawne Williams",23.04,-1.67
"406","Shayne Whittington",0.167,-0.79
"407","Shelvin Mack",12.6,-2
"409","Solomon Hill",22.236,-1.36
"410","Spencer Dinwiddie",2.22,-1.21
"411","Spencer Hawes",17.215,0.91
"412","Stephen Curry",126.698,1.91
"413","Steve Blake",27.104,-0.74
"414","Steve Novak",7.524,-2.28
"415","Steven Adams",0,1.54
"416","T.J. Warren",1.19,-1.22
"418","Tarik Black",0,-0.28
"419","Tayshaun Prince",14.353,-2.1
"420","Terrence Jones",4.563,0.8
"421","Terrence Ross",53.94,-3.75
"422","Thabo Sefolosha",8.025,2.97
"423","Thaddeus Young",12.54,1.15
"424","Thomas Robinson",0,-0.18
"426","Tim Duncan",0.572,4.67
"427","Tim Frazier",1.47,-0.93
"428","Timofey Mozgov",0.666,3.43
"429","Tobias Harris",31.668,-2.21
"430","Toney Douglas",1.39,-1.7
"431","Tony Allen",3.45,4.92
"432","Tony Parker",16.226,-3.33
"433","Tony Snell",27.083,-0.3
"434","Tony Wroten",9.657,-3.77
"436","Travis Wear",4.037,-0.39
"437","Trevor Ariza",67.9,2.36
"438","Trevor Booker",10.005,-1.51
"439","Trey Burke",39.432,-2.52
"441","Troy Daniels",15.652,-2.65
"442","Ty Lawson",23.87,-2.36
"443","Tyler Ennis",3.348,-2.74
"444","Tyler Hansbrough",0.143,1.79
"445","Tyler Johnson",6.75,-1.17
"447","Tyreke Evans",20.976,-0.65
"450","Udonis Haslem",0.4,-0.31
"451","Victor Claver",3.27,0.07
"452","Victor Oladipo",28.476,-1.59
"453","Vince Carter",20.493,-0.49
"454","Wayne Ellington",33.3,0.53
"455","Wesley Johnson",31.941,-0.6
"456","Wesley Matthews",67.297,2.27
"457","Will Barton",6.233,0.34
"458","Willie Green",14.574,-0.36
"459","Wilson Chandler",47.538,-1.4
"461","Zach LaVine",19.437,-4.23
"462","Zach Randolph",2.45,2.71
"463","Zaza Pachulia",0,3.42
"464","Zoran Dragic",0.642,-1.92
